id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
68,31,62900,MORTGAGE,2.0,MEDICAL,D,18000,14.09,0.24,N,5,1
69,24,40000,RENT,3.0,MEDICAL,C,3000,13.22,0.07,N,4,0
70,43,68000,MORTGAGE,0.0,MEDICAL,A,5000,8.9,0.07,N,17,0
71,31,75000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,7.51,0.16,N,8,0
72,27,31200,RENT,1.0,PERSONAL,C,3200,13.11,0.1,Y,6,0
73,24,24000,RENT,4.0,MEDICAL,B,3000,10.95,0.13,N,2,0
74,23,100000,MORTGAGE,7.0,EDUCATION,A,6000,7.74,0.06,N,3,0
75,28,27000,OWN,0.0,PERSONAL,A,12000,7.51,0.44,N,6,0
76,22,70000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,7.29,0.14,N,2,0
77,26,42000,RENT,3.0,VENTURE,B,2000,11.49,0.05,N,2,0
78,46,120000,RENT,0.0,DEBTCONSOLIDATION,B,20000,10.37,0.17,N,14,0
79,24,90000,MORTGAGE,8.0,PERSONAL,A,10000,5.99,0.11,N,2,0
80,26,60000,RENT,2.0,DEBTCONSOLIDATION,B,7000,10.62,0.12,N,3,0
81,30,45600,RENT,6.0,DEBTCONSOLIDATION,A,23500,7.66,0.5,N,8,1
82,24,75000,RENT,3.0,PERSONAL,B,15000,11.49,0.2,N,2,0
83,37,75000,RENT,0.0,PERSONAL,A,10000,6.99,0.13,N,15,0
84,28,70000,RENT,2.0,HOMEIMPROVEMENT,B,16000,12.18,0.23,N,6,0
85,30,74000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,7000,15.62,0.09,N,7,1
86,48,112000,MORTGAGE,21.0,MEDICAL,A,5000,7.9,0.04,N,17,0
87,31,30000,RENT,0.0,VENTURE,A,12000,8.94,0.4,N,6,1
88,23,110000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,6000,11.71,0.05,N,3,0
89,23,42000,RENT,3.0,DEBTCONSOLIDATION,B,3550,11.99,0.08,N,3,0
90,32,65000,MORTGAGE,2.0,VENTURE,D,5000,15.2,0.07,Y,5,0
91,24,225000,RENT,0.0,MEDICAL,C,3000,14.26,0.01,Y,2,0
92,23,150000,MORTGAGE,1.0,VENTURE,B,20000,11.58,0.13,N,4,0
93,27,70000,MORTGAGE,0.0,EDUCATION,C,6000,12.53,0.09,Y,8,0
94,22,33000,RENT,4.0,PERSONAL,B,9800,10.62,0.28,N,4,0
95,36,96000,MORTGAGE,5.0,PERSONAL,A,15000,5.99,0.16,N,12,0
96,28,70000,RENT,9.0,HOMEIMPROVEMENT,B,12000,11.48,0.17,N,10,0
97,25,36000,MORTGAGE,1.0,MEDICAL,A,8000,6.91,0.22,N,2,0
98,29,34000,RENT,9.0,HOMEIMPROVEMENT,D,3000,16.32,0.08,Y,8,1
99,27,70000,RENT,0.0,EDUCATION,B,15000,10.99,0.21,N,7,0
100,41,100000,MORTGAGE,6.0,PERSONAL,B,15000,11.49,0.15,N,16,0
101,25,82000,RENT,7.0,HOMEIMPROVEMENT,B,24000,12.53,0.3,N,3,0
102,23,85000,RENT,3.0,EDUCATION,B,8000,10.25,0.09,N,2,0
103,27,110000,MORTGAGE,3.0,VENTURE,A,15000,8.94,0.14,N,10,0
104,33,46000,MORTGAGE,17.0,PERSONAL,C,6000,12.68,0.13,Y,6,0
105,26,30000,OWN,10.0,MEDICAL,A,6000,5.42,0.2,N,2,0
106,33,95000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,14000,10.65,0.15,N,8,0
107,24,62900,RENT,8.0,MEDICAL,D,18000,14.96,0.24,N,3,1
108,35,80496,OWN,0.0,HOMEIMPROVEMENT,A,20000,6.91,0.25,N,7,0
109,32,76000,RENT,2.0,VENTURE,C,14000,12.61,0.19,N,10,0
110,22,55000,RENT,1.0,EDUCATION,A,8000,7.14,0.15,N,3,0
111,27,106925,MORTGAGE,11.0,MEDICAL,B,19500,10.99,0.18,N,10,0
112,22,65000,RENT,0.0,PERSONAL,A,3000,5.79,0.05,N,3,0
113,31,85000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.06,0.07,Y,7,0
114,21,30000,RENT,5.0,HOMEIMPROVEMENT,C,6500,14.27,0.22,N,4,1
115,30,170000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,17500,5.99,0.1,N,8,0
116,28,47000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,4500,13.49,0.1,Y,8,1
117,23,50000,OWN,1.0,EDUCATION,C,2000,12.99,0.04,N,4,0
118,23,120000,RENT,7.0,EDUCATION,B,16000,10.74,0.13,N,2,0
119,22,40000,MORTGAGE,6.0,EDUCATION,B,6000,11.49,0.15,N,2,0
120,35,60000,RENT,2.0,EDUCATION,C,19750,14.27,0.34,Y,5,0
121,24,30000,RENT,3.0,MEDICAL,B,10000,11.14,0.33,N,3,1
122,25,114750,RENT,4.0,MEDICAL,A,6000,7.9,0.05,N,3,1
123,28,54000,MORTGAGE,12.0,PERSONAL,A,12000,6.62,0.22,N,6,0
124,27,30000,RENT,1.0,VENTURE,D,4000,14.84,0.13,Y,7,1
125,23,50000,RENT,1.0,VENTURE,A,3000,7.51,0.06,N,4,0
126,21,31000,RENT,5.0,EDUCATION,B,10000,11.49,0.32,N,2,1
127,23,50000,RENT,7.0,EDUCATION,B,15000,10.99,0.3,N,4,0
128,24,60000,MORTGAGE,8.0,VENTURE,A,6000,8.59,0.1,N,2,0
129,28,78000,RENT,1.0,HOMEIMPROVEMENT,B,24000,10.25,0.31,N,8,1
130,29,79992,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,12.53,0.08,N,8,0
131,36,110000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,28000,7.49,0.25,N,17,0
132,32,150000,RENT,16.0,HOMEIMPROVEMENT,A,25000,7.88,0.17,N,9,0
133,24,25000,RENT,0.0,MEDICAL,B,5000,10.99,0.2,N,2,0
134,34,36000,RENT,2.0,DEBTCONSOLIDATION,B,8000,11.49,0.22,N,6,1
135,23,72000,RENT,7.0,MEDICAL,A,15000,7.51,0.21,N,2,0
136,28,42000,RENT,2.0,DEBTCONSOLIDATION,C,4800,15.23,0.11,N,8,0
137,25,44004,RENT,2.0,PERSONAL,D,18250,15.31,0.4,N,2,1
138,28,96000,MORTGAGE,12.0,PERSONAL,B,5000,12.69,0.05,N,6,0
139,26,65000,MORTGAGE,0.0,PERSONAL,B,5200,9.91,0.08,N,2,0
140,26,54833,RENT,6.0,MEDICAL,B,10000,11.36,0.18,N,2,1
141,26,51000,RENT,1.0,VENTURE,A,8400,7.14,0.17,N,4,0
142,23,50000,RENT,3.0,EDUCATION,B,18650,11.71,0.37,N,3,1
143,27,60000,RENT,3.0,MEDICAL,A,3600,5.99,0.06,N,8,0
144,27,200000,MORTGAGE,7.0,EDUCATION,A,24000,7.49,0.12,N,7,0
145,34,54000,MORTGAGE,16.0,MEDICAL,A,5000,6.03,0.09,N,5,0
146,29,47412,MORTGAGE,0.0,EDUCATION,A,6500,8.59,0.14,N,9,0
147,40,63000,MORTGAGE,3.0,EDUCATION,A,4000,6.92,0.06,N,13,0
148,22,55000,MORTGAGE,6.0,MEDICAL,B,2800,11.49,0.05,N,2,0
149,30,56000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,12000,10.46,0.21,N,10,0
150,32,84996,MORTGAGE,7.0,PERSONAL,B,8000,11.99,0.09,N,5,0
151,28,66847,RENT,3.0,PERSONAL,D,10000,16.29,0.15,Y,8,0
152,23,60000,RENT,1.0,EDUCATION,B,12500,11.49,0.21,N,2,0
153,47,52000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,7800,9.07,0.15,N,14,0
154,46,24996,RENT,2.0,PERSONAL,C,5400,13.48,0.21,Y,17,0
155,28,54996,RENT,3.0,MEDICAL,B,5000,10.36,0.09,N,8,0
156,28,86400,MORTGAGE,8.0,MEDICAL,A,12000,5.79,0.14,N,5,0
157,27,65000,MORTGAGE,5.0,VENTURE,A,12000,7.49,0.18,N,10,0
158,32,42000,RENT,1.0,DEBTCONSOLIDATION,B,4000,9.99,0.1,N,7,0
159,23,62500,MORTGAGE,7.0,VENTURE,B,20000,10.25,0.32,N,3,0
160,25,130000,MORTGAGE,5.0,EDUCATION,B,13000,10.75,0.1,N,2,0
161,22,60000,RENT,7.0,MEDICAL,A,6000,7.51,0.1,N,4,0
162,27,40000,RENT,3.0,EDUCATION,B,1850,10.25,0.04,N,7,0
163,26,59000,RENT,2.0,DEBTCONSOLIDATION,D,8000,14.96,0.14,Y,3,1
164,28,55000,MORTGAGE,2.0,VENTURE,B,10800,9.91,0.2,N,5,0
165,23,66000,RENT,0.0,PERSONAL,A,3500,7.14,0.05,N,2,0
166,22,75000,MORTGAGE,4.0,VENTURE,C,15250,11.34,0.2,Y,4,0
167,27,58200,MORTGAGE,1.0,VENTURE,B,14000,10.74,0.24,N,5,0
168,24,117000,RENT,8.0,PERSONAL,C,8000,13.06,0.07,Y,3,0
169,23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,10000,9.99,0.14,N,2,0
170,22,48000,RENT,2.0,EDUCATION,B,3500,11.49,0.07,N,2,0
171,23,88000,MORTGAGE,4.0,EDUCATION,B,15000,10.62,0.17,N,4,0
172,23,35000,RENT,2.0,VENTURE,A,4000,9.32,0.11,N,2,0
173,26,31200,RENT,3.0,EDUCATION,C,2250,13.35,0.07,Y,2,0
174,28,82600,OWN,10.0,PERSONAL,B,20000,10.99,0.24,N,6,0
175,22,54996,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,8.94,0.19,N,2,0
176,27,75000,RENT,2.0,VENTURE,B,20000,10.99,0.27,N,10,0
177,30,65000,MORTGAGE,2.0,MEDICAL,A,14000,7.51,0.22,N,9,0
178,24,75000,MORTGAGE,1.0,MEDICAL,B,3600,12.69,0.05,N,4,0
179,26,105000,RENT,3.0,EDUCATION,B,15000,11.86,0.14,N,4,0
180,29,90000,RENT,7.0,MEDICAL,B,12000,12.42,0.13,N,9,0
181,22,38400,MORTGAGE,6.0,DEBTCONSOLIDATION,A,7800,7.9,0.19,N,4,0
182,21,100000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,11.99,0.15,N,3,0
183,28,39000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,6000,6.91,0.15,N,8,0
184,47,65000,MORTGAGE,21.0,VENTURE,D,7000,16.07,0.11,N,17,0
185,22,58000,RENT,0.0,EDUCATION,B,1500,12.18,0.03,N,4,0
186,23,45504,RENT,3.0,EDUCATION,C,8700,13.11,0.18,Y,2,1
187,31,101000,RENT,0.0,HOMEIMPROVEMENT,C,20000,14.22,0.2,N,8,0
188,25,40000,RENT,2.0,EDUCATION,B,1500,11.86,0.04,N,4,0
189,26,102000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,18000,11.49,0.18,N,3,0
190,22,48996,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,6.17,0.2,N,4,0
191,28,75000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,24000,10.36,0.32,N,8,0
192,32,80000,OWN,0.0,VENTURE,D,9600,15.31,0.12,N,5,0
193,23,40000,RENT,1.0,MEDICAL,B,3000,12.18,0.07,N,2,0
194,22,39000,MORTGAGE,6.0,MEDICAL,D,3000,15.62,0.08,N,4,1
195,25,57000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,20000,10.99,0.35,N,4,0
196,23,37148,RENT,2.0,DEBTCONSOLIDATION,A,2000,6.39,0.05,N,2,0
197,24,75000,RENT,8.0,PERSONAL,C,10000,13.49,0.13,N,3,0
198,28,95000,MORTGAGE,6.0,VENTURE,C,18000,13.79,0.19,N,8,0
199,22,30000,RENT,0.0,DEBTCONSOLIDATION,C,6000,13.49,0.2,Y,2,0
200,22,90000,MORTGAGE,6.0,EDUCATION,B,14000,10.99,0.16,N,2,0
201,26,75531,RENT,4.0,DEBTCONSOLIDATION,A,12000,7.49,0.17,N,3,0
202,29,75000,MORTGAGE,9.0,PERSONAL,B,8000,11.26,0.11,N,8,0
203,29,110000,MORTGAGE,13.0,PERSONAL,A,10000,7.14,0.09,N,6,0
204,38,35000,RENT,0.0,VENTURE,B,6000,12.21,0.17,N,14,0
205,26,85000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,5500,10.99,0.06,N,2,0
206,23,100000,MORTGAGE,2.0,VENTURE,A,11000,7.66,0.11,N,2,0
207,23,38400,MORTGAGE,7.0,PERSONAL,C,15000,12.99,0.39,N,3,0
208,23,50000,RENT,4.0,DEBTCONSOLIDATION,B,6000,12.42,0.12,N,2,0
209,42,32640,RENT,9.0,VENTURE,B,4800,11.11,0.15,N,13,0
210,25,33000,RENT,2.0,MEDICAL,B,4000,10.25,0.12,N,4,0
211,27,42000,RENT,1.0,PERSONAL,C,4800,12.73,0.11,Y,9,0
212,27,65000,RENT,8.0,PERSONAL,C,10000,13.99,0.15,N,7,0
213,22,50000,RENT,0.0,PERSONAL,E,4000,13.93,0.08,N,4,0
214,23,62000,MORTGAGE,7.0,PERSONAL,B,5000,11.83,0.08,N,4,0
215,26,75000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,15000,11.48,0.2,N,4,0
216,26,42000,RENT,0.0,VENTURE,B,5000,9.99,0.12,N,2,0
217,25,120000,RENT,4.0,DEBTCONSOLIDATION,C,16800,14.26,0.13,Y,3,0
218,24,130000,MORTGAGE,8.0,MEDICAL,B,14500,12.69,0.11,N,2,0
219,24,115000,MORTGAGE,3.0,EDUCATION,A,5000,6.03,0.04,N,3,0
220,27,61500,RENT,3.0,HOMEIMPROVEMENT,C,15000,13.23,0.24,Y,5,0
221,24,42000,RENT,8.0,DEBTCONSOLIDATION,D,5000,14.91,0.12,N,4,1
222,51,82000,MORTGAGE,21.0,PERSONAL,A,10000,6.99,0.12,N,23,0
223,23,95000,RENT,1.0,EDUCATION,B,2400,10.37,0.03,N,4,0
224,31,30000,RENT,0.0,HOMEIMPROVEMENT,B,15000,11.36,0.5,N,8,1
225,24,72000,RENT,8.0,MEDICAL,A,14000,7.88,0.19,N,4,0
226,23,56000,MORTGAGE,7.0,MEDICAL,C,6000,14.27,0.11,N,4,0
227,23,60000,MORTGAGE,7.0,EDUCATION,C,6200,15.96,0.1,N,3,0
228,50,50000,RENT,4.0,VENTURE,B,4000,11.49,0.08,N,15,0
229,28,26785,OWN,3.0,MEDICAL,A,8500,7.9,0.34,N,7,0
230,25,75000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,12.69,0.07,N,2,0
231,27,52800,OWN,3.0,VENTURE,C,14000,11.34,0.27,N,8,0
232,27,62400,MORTGAGE,0.0,PERSONAL,B,12000,10.39,0.19,N,5,0
233,38,132000,MORTGAGE,12.0,HOMEIMPROVEMENT,F,20000,17.46,0.15,N,12,0
234,27,65000,RENT,1.0,MEDICAL,B,12000,12.18,0.18,N,6,0
235,30,44004,RENT,2.0,PERSONAL,B,11000,11.46,0.25,N,8,1
236,29,40000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,8000,8.59,0.2,N,7,0
237,24,50000,RENT,1.0,HOMEIMPROVEMENT,A,10000,6.62,0.2,N,4,0
238,23,55000,RENT,3.0,PERSONAL,C,12000,13.49,0.22,N,4,0
239,25,40000,RENT,5.0,MEDICAL,C,9000,13.61,0.23,Y,3,0
240,22,55000,MORTGAGE,6.0,MEDICAL,A,6800,6.99,0.12,N,4,0
241,40,80750,MORTGAGE,7.0,MEDICAL,D,20000,15.99,0.25,N,15,1
242,23,68000,RENT,4.0,EDUCATION,D,5000,15.05,0.07,N,3,0
243,21,50004,MORTGAGE,5.0,VENTURE,B,3000,11.12,0.06,N,4,0
244,29,78996,RENT,13.0,PERSONAL,D,12000,15.05,0.15,N,8,0
245,25,55000,MORTGAGE,5.0,EDUCATION,B,2000,12.69,0.04,N,3,0
246,27,24000,RENT,0.0,PERSONAL,B,8000,10.95,0.33,N,5,1
247,27,80000,RENT,4.0,PERSONAL,E,6400,16.4,0.08,N,10,1
248,25,45000,OWN,2.0,VENTURE,B,7000,9.88,0.16,N,4,0
249,29,100000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,35000,12.73,0.35,Y,8,0
250,22,60000,RENT,3.0,EDUCATION,A,12000,7.51,0.2,N,3,0
251,37,38400,OWN,8.0,EDUCATION,C,9600,13.61,0.25,Y,17,0
252,24,42000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,6000,13.49,0.14,Y,3,0
253,29,107500,MORTGAGE,11.0,MEDICAL,A,10000,7.9,0.09,N,7,0
254,24,90000,RENT,8.0,PERSONAL,B,16000,10.62,0.18,N,2,0
255,21,83000,MORTGAGE,3.0,EDUCATION,D,12000,15.62,0.14,Y,3,0
256,37,60000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,6.54,0.08,N,13,0
257,33,55000,MORTGAGE,7.0,MEDICAL,B,3200,10.99,0.06,N,10,0
258,38,85000,OWN,3.0,VENTURE,C,10000,14.27,0.12,N,11,0
259,28,42000,RENT,4.0,VENTURE,B,4000,10.74,0.1,N,9,0
260,25,110000,RENT,2.0,VENTURE,B,10000,11.48,0.09,N,4,0
261,32,55000,MORTGAGE,16.0,VENTURE,D,12500,15.7,0.23,N,9,0
262,47,110000,MORTGAGE,11.0,MEDICAL,A,10000,7.51,0.09,N,13,0
263,30,50000,RENT,0.0,MEDICAL,B,10000,10.95,0.2,N,10,0
264,21,43000,MORTGAGE,5.0,VENTURE,A,5000,8.94,0.12,N,3,0
265,39,43200,RENT,1.0,MEDICAL,A,10000,7.49,0.23,N,14,0
266,30,54000,RENT,5.0,VENTURE,B,12000,10.99,0.22,N,5,0
267,30,60000,RENT,3.0,PERSONAL,D,10000,15.33,0.17,N,10,0
268,22,52273,RENT,1.0,EDUCATION,B,4000,10.65,0.08,N,4,0
269,23,65000,RENT,2.0,EDUCATION,C,8000,12.68,0.12,N,3,0
270,26,45000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8800,8.49,0.19,N,3,0
271,29,88000,RENT,2.0,PERSONAL,A,4000,7.51,0.05,N,7,0
272,27,30000,OWN,2.0,PERSONAL,C,8000,14.26,0.27,Y,10,0
273,24,125000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,30000,19.69,0.24,N,3,0
274,23,60000,RENT,7.0,EDUCATION,A,3000,7.9,0.05,N,2,0
275,22,45000,RENT,4.0,MEDICAL,A,7000,7.51,0.16,N,4,0
276,23,34296,RENT,7.0,DEBTCONSOLIDATION,B,12000,11.89,0.35,N,3,1
277,23,69500,RENT,7.0,VENTURE,C,12000,13.23,0.17,N,4,0
278,34,85000,MORTGAGE,18.0,EDUCATION,B,20000,10.65,0.24,N,10,0
279,27,58000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,3500,7.51,0.06,N,10,0
280,22,50000,RENT,6.0,EDUCATION,B,5000,10.99,0.1,N,4,0
281,37,42000,RENT,11.0,PERSONAL,B,1000,9.76,0.02,N,16,0
282,34,52000,RENT,1.0,HOMEIMPROVEMENT,D,6000,14.59,0.12,Y,10,1
283,30,60000,MORTGAGE,14.0,PERSONAL,B,2000,10.65,0.03,N,6,0
284,31,25000,RENT,1.0,HOMEIMPROVEMENT,C,9250,12.87,0.39,N,6,1
285,27,70000,MORTGAGE,6.0,EDUCATION,A,6000,7.49,0.09,N,9,0
286,24,70000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,16100,11.83,0.23,N,2,0
287,27,85000,MORTGAGE,0.0,PERSONAL,A,10000,7.49,0.12,N,10,0
288,29,42000,MORTGAGE,14.0,EDUCATION,B,3500,10.65,0.08,N,9,0
289,23,120000,MORTGAGE,3.0,VENTURE,A,5000,7.49,0.04,N,4,0
290,27,70000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,5000,7.29,0.07,N,8,0
291,22,65000,MORTGAGE,6.0,EDUCATION,A,10000,6.62,0.15,N,3,0
292,26,85000,RENT,4.0,DEBTCONSOLIDATION,A,9600,7.51,0.11,N,3,0
293,24,75000,MORTGAGE,3.0,MEDICAL,B,10000,9.91,0.13,N,3,0
294,35,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,8.0,0.2,N,7,0
295,25,45000,RENT,2.0,VENTURE,B,10000,10.59,0.22,N,3,0
296,25,39204,MORTGAGE,7.0,PERSONAL,A,7000,9.32,0.18,N,2,0
297,30,52500,MORTGAGE,7.0,PERSONAL,A,15000,6.99,0.29,N,6,0
298,31,56000,RENT,1.0,MEDICAL,B,2500,11.49,0.04,N,9,0
299,28,30000,RENT,0.0,PERSONAL,D,7200,16.29,0.24,N,5,1
300,23,100000,MORTGAGE,7.0,VENTURE,A,14000,5.79,0.14,N,4,0
301,23,75000,RENT,1.0,VENTURE,B,1800,11.49,0.02,N,2,0
302,27,28800,OWN,2.0,HOMEIMPROVEMENT,B,3300,10.59,0.11,N,6,0
303,22,40000,RENT,1.0,VENTURE,A,3650,6.91,0.09,N,2,0
304,41,38400,RENT,7.0,DEBTCONSOLIDATION,C,10000,13.49,0.26,N,15,0
305,28,110000,MORTGAGE,11.0,MEDICAL,A,15000,7.88,0.14,N,8,0
306,24,50000,RENT,0.0,VENTURE,B,12500,11.71,0.25,N,2,0
307,23,40000,RENT,0.0,EDUCATION,B,7000,8.88,0.17,N,3,0
308,37,70000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,4000,10.37,0.06,N,17,0
309,23,55000,RENT,7.0,DEBTCONSOLIDATION,B,6000,10.0,0.11,N,2,0
